date,open,close,high,low
2017-10-24,5.684,5.664,5.734,5.624
2017-10-25,5.644,5.664,5.714,5.634
2017-10-26,5.664,5.813,5.823,5.604
2017-10-27,5.833,5.753,5.853,5.684
2017-10-30,5.724,5.525,5.724,5.525
2017-10-31,5.515,5.564,5.564,5.475
2017-11-01,5.554,5.863,6.072,5.534
2017-11-02,5.853,5.724,5.853,5.694
2017-11-03,5.714,5.793,5.803,5.584
2017-11-06,5.773,5.863,5.873,5.724
2017-11-07,5.833,5.893,5.982,5.813
2017-11-08,5.883,5.734,5.913,5.724
2017-11-09,5.744,5.773,5.783,5.694
2017-11-10,5.773,5.734,5.853,5.714
2017-11-13,5.704,5.644,5.704,5.614
2017-11-14,5.644,5.485,5.674,5.475
2017-11-15,5.495,5.425,5.525,5.405
2017-11-16,5.425,5.435,5.435,5.385
2017-11-17,5.435,5.027,5.435,4.997
2017-11-20,4.987,5.017,5.057,4.868
2017-11-21,5.017,4.987,5.027,4.967
2017-11-22,4.987,4.987,5.047,4.977
2017-11-23,4.977,4.897,5.027,4.858
2017-11-24,4.897,4.858,4.917,4.828
2017-11-27,4.858,4.818,4.858,4.778
2017-11-28,4.818,4.858,4.858,4.788
2017-11-29,4.858,4.887,4.937,4.798
2017-11-30,4.878,4.808,4.887,4.808
2017-12-01,4.808,4.878,4.897,4.808
2017-12-04,4.907,4.838,4.917,4.818
2017-12-05,4.858,4.977,4.977,4.798
2017-12-06,4.977,5.077,5.077,4.897
2017-12-07,5.037,4.967,5.077,4.957
2017-12-08,4.957,4.997,5.047,4.927
2017-12-11,4.997,5.007,5.037,4.987
2017-12-12,5.007,4.927,5.027,4.927
2017-12-13,4.917,4.907,4.937,4.878
2017-12-14,4.907,4.937,4.937,4.878
2017-12-15,4.947,4.917,4.947,4.907
2017-12-18,4.927,4.838,4.927,4.838
2017-12-19,4.848,4.868,4.897,4.838
2017-12-20,4.878,4.887,4.887,4.858
2017-12-21,4.887,4.858,4.887,4.808
2017-12-22,4.798,4.818,4.858,4.798
2017-12-25,4.818,4.778,4.858,4.748
2017-12-26,4.778,4.708,4.798,4.668
2017-12-27,4.718,4.519,4.728,4.499
2017-12-28,4.519,4.609,4.659,4.479
2017-12-29,4.579,4.639,4.659,4.549
2018-01-02,4.639,4.649,4.659,4.589
2018-01-03,4.649,4.718,4.728,4.619
2018-01-04,4.728,4.788,4.798,4.688
2018-01-05,4.768,4.758,4.788,4.728
2018-01-08,4.768,4.738,4.778,4.718
2018-01-09,4.718,4.728,4.778,4.718
2018-01-10,4.718,4.708,4.768,4.639
2018-01-11,4.659,4.678,4.708,4.629
2018-01-12,4.688,4.589,4.708,4.569
2018-01-15,4.579,4.509,4.589,4.489
2018-01-16,4.479,4.539,4.659,4.459
2018-01-17,4.519,4.549,4.549,4.459
2018-01-18,4.579,4.559,4.639,4.519
2018-01-19,4.549,4.529,4.569,4.509
2018-01-22,4.519,4.559,4.579,4.469
2018-01-23,4.529,4.569,4.589,4.519
2018-01-24,4.569,4.579,4.579,4.519
